npcId	phai	series	genere
1199	caibang	3	0
1489	caibang	3	0
1772	caibang	3	0
1793	caibang	3	0
1202	conlon	4	0
1487	conlon	4	0
1774	conlon	4	0
1795	conlon	4	0
1195	duongmon	1	0
1485	duongmon	1	0
1768	duongmon	1	0
1789	duongmon	1	0
1197	ngami	2	2
1483	ngami	2	2
1769	ngami	2	2
1790	ngami	2	2
1196	ngudoc	1	0
1488	ngudoc	1	0
1767	ngudoc	1	0
1788	ngudoc	1	0
1200	thiennhan	3	0
1480	thiennhan	3	0
1771	thiennhan	3	0
1792	thiennhan	3	0
1193	thienvuong	0	1
1481	thienvuong	0	1
1484	thienvuong	0	1
1765	thienvuong	0	1
1786	thienvuong	0	1
1194	thieulam	0	1
1766	thieulam	0	1
1787	thieulam	0	1
1198	thuyyen	2	2
1482	thuyyen	2	2
1770	thuyyen	2	2
1791	thuyyen	2	2
1201	vodang	4	0
1486	vodang	4	0
1773	vodang	4	0
1794	vodang	4	0
1906	thienvuong	0	1
1907	thienvuong	0	1
1908	thieulam	0	1
1909	thieulam	0	1
1910	duongmon	1	0
1911	duongmon	1	0
1912	ngudoc	1	0
1913	ngudoc	1	0
1914	ngami	2	2
1915	ngami	2	2
1916	thuyyen	2	2
1917	thuyyen	2	2
1918	caibang	3	0
1919	caibang	3	0
1920	thiennhan	3	0
1921	thiennhan	3	0
1922	vodang	4	0
1923	vodang	4	0
1924	conlon	4	0
1925	conlon	4	0
2000	thieulam	0	1
2001	thieulam	0	1
2002	thieulam	0	1
2003	thienvuong	0	1
2004	thienvuong	0	1
2005	thienvuong	0	1
2006	duongmon	1	0
2007	duongmon	1	0
2008	duongmon	1	0
2009	duongmon	1	0
2010	ngudoc	1	0
2011	ngudoc	1	0
2012	ngami	2	2
2013	ngami	2	2
2014	thuyyen	2	2
2015	thuyyen	2	2
2016	caibang	3	0
2017	caibang	3	0
2018	thiennhan	3	0
2019	thiennhan	3	0
2020	vodang	4	0
2021	vodang	4	0
2022	conlon	4	0
2023	conlon	4	0
