Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
VËt phÈm kü n¨ng	6	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	Kü n¨ng ¬i! Kü n¨ng ¬i!		100	1	1	28	141	1	1	1	1
B¶o r­¬ng	6	1	0	\spr\item\script\item_goldenbox.spr	367	2	2	Bªn trong chøa 1 b¶o vËt ngÉu nhiªn		2000	1	0	\script\item\baowubox.lua	0	1	1	0	0
Tr­êng MÖnh hoµn	6	0	1	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, sinh lùc t¨ng tèi ®a: 500 ®iÓm		50	1	0	0	256	1	1	0	1
Gia Bµo hoµn	6	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, tèc ®é di chuyÓn t¨ng: 20%		50	1	0	0	257	1	1	0	1
§¹i Lùc hoµn	6	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, c«ng kİch vËt lı t¨ng: 100 ®iÓm		50	1	0	0	258	1	1	0	1
Cao ThiÓm hoµn	6	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng ®é c«ng kİch chİnh x¸c: 500 ®iÓm		50	1	0	0	259	1	1	0	1
Cao Trung hoµn	6	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng ®é c«ng kİch chİnh x¸c: 500 ®iÓm		50	1	0	0	260	1	1	0	1
Phi Tèc hoµn	6	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng tèc ®éc c«ng kİch: 50%		50	1	0	0	261	1	1	0	1
B¨ng Phßng hoµn	6	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng phßng ngù: 50%		50	1	0	0	262	1	1	0	1
L«i Phßng hoµn	6	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng phßng L«i: 50%		50	1	0	0	263	1	1	0	1
Háa Phßng hoµn	6	0	9	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng phßng háa: 50%		50	1	0	0	264	1	1	0	1
§éc Phßng hoµn	6	0	10	\spr\item\medecine\obj-potion15.spr	19	1	1	Néi 5 phót, t¨ng phßng ®éc: 50%		50	1	0	0	265	1	1	0	1
Ph¸o Hoa	6	0	11	\spr\item\magic\icon_item_baozhu.spr	334	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy lÔ tiÕt		50	1	1	0	251	1	1	0	1
Bµn Nh­îc T©m Kinh	6	1	12	\spr\item\questkey\obj_item_lection.spr	341	1	1	PhËt gia B¶o ®iÓn, th­êng xuyªn tông niÖm sÏ trõ ®­îc c¸c ®iÓm ©m kinh nghiÖm.		100	1	0	\script\item\sutra.lua	0	1	1	0	1
§¹i Hång Bao	6	1	13	\spr\item\questkey\obj_item_burseb.spr	342	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui.		100000	1	0	\script\item\moremoneygift.lua	0	1	1	0	1
TiÓu Hång Bao	6	1	14	\spr\item\questkey\obj_item_burses.spr	343	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui.		10000	1	0	\script\item\lessmoneygift.lua	0	1	1	0	1
Phi Phong	6	1	15	\spr\item\obj_item_mantle.spr	338	1	1	Lo¹i ¸o kho¸c trang trİ, cã thÓ kho¸c lªn bÊt cø lo¹i y phôc nµo		1	1	0	\script\item\mantle.lua	0	1	1	0	0
Bao l× x× n¨m míi (lín) 	6	1	16	\spr\item\obj_item_giftb.spr	344	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui		100000	1	0	\script\item\biggift.lua	0	1	1	0	0
Bao l× x× n¨m míi (nhá) 	6	1	17	\spr\item\obj_item_gifts.spr	345	1	1	VËt phÈm kh«ng thÓ thiÕu trong nh÷ng ngµy vui		10000	1	0	\script\item\smallgift.lua	0	1	1	0	0
T©m T©m T­¬ng ¸nh phï 	6	1	18	\spr\item\obj_item_heart.spr	346	1	1	Sö dông lËp tøc vÒ bªn c¹nh ng­êi tri kû 		10000	1	0	\script\item\heart.lua	0	1	1	0	0
C¸t t­êng hång bao	6	1	19	\spr\item\obj_item_jixiang.spr	347	1	1	C¸t t­êng hång bao		10000	1	0	\script\item\jixiang.lua	0	1	1	0	0
Hoa hång	6	0	20	\spr\item\questkey\flower.spr	330	1	1	SÏ t¹o bªn mét trËn m­a hoa hång		10000	1	1	0	285	1	1	0	1
Nga My MËt TŞch	6	1	21	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bİ quyÕt vâ c«ng, cã İch cho c¸c ®Ö tö Nga Mi.		100	1	0	\script\item\emei-miji.lua	0	1	1	0	1
TÈy Tñy Kinh	6	1	22	\spr\item\questkey\obj_item_lection.spr	341	1	1	PhËt gia b¶o ®iÓn, nÕu cã thÓ ®äc hiÓu sÏ t¨ng kinh nghiÖm rÊt nhanh.		100	1	0	\script\item\xisui-jing.lua	0	1	1	0	1
ThiÕt La H¸n	6	1	23	\spr\item\questkey\obj_item_lection.spr	341	1	1	Mét ng­êi s¾t La H¸n di ®éng, ®¸nh ng· sÏ thu ®­îc kinh nghiÖm thùc chiÕn.		100	1	0	\script\item\tie-luohan.lua	0	1	1	0	1
Vâ §ang MËt TŞch 	6	1	24	\spr\item\questkey\obj_item_lection.spr	341	1	1	MËt TŞch vâ c«ng Vâ §ang, rÊt cã İch cho c¸c ®Ö tö Vâ §ang.		100	1	0	\script\item\wudang-miji.lua	0	1	1	0	1
§­êng M«n MËt TŞch 	6	1	25	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bİ quyÕt vâ c«ng, cã İch cho c¸c ®Ö tö §­êng m«n.		100	1	0	\script\item\tangmen-miji.lua	0	1	1	0	1
Vâ L©m MËt TŞch	6	1	26	\spr\item\questkey\obj_item_lection.spr	341	1	1	Bİ quyÕt vâ c«ng, cã İch cho c¸c hiÖp kh¸ch Vâ L©m.		100	1	0	\script\item\wulin-miji.lua	0	1	1	0	1
Tô TiÔn thuËt. B¹o Vò Lª Hoa	6	1	27	\spr\item\questkey\obj_item_lection.spr	341	1	1	YÕu quyÕt B¹o Vò Lª Hoa, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng B¹o Vò Lª Hoa.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
H·m TÜnh thuËt.Lo¹n Hoµn Kİch	6	1	28	\spr\item\questkey\obj_item_lection.spr	341	1	1	bİ truyÒn cña §­êng m«n, siªng luyÖn tËp sÏ thuÇn thôc kü n¨ng Lo¹n Hoµn Kİch.		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
