物品索引（从1起始）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
197	100	0	0	0	0	0	0	0	0	0
198	50	0	0	0	0	0	0	0	0	0
199	50	0	0	0	0	0	0	0	0	0
148	10	0	0	0	0	0	0	0	0	0
150	10	0	0	0	0	0	0	0	0	0
151	10	0	0	0	0	0	0	0	0	0
152	10	0	0	0	0	0	0	0	0	0
153	10	0	0	0	0	0	0	0	0	0
154	10	0	0	0	0	0	0	0	0	0
155	10	0	0	0	0	0	0	0	0	0
160	50	0	0	0	0	0	0	0	0	0
157	50	0	0	0	0	0	0	0	0	0
158	50	0	0	0	0	0	0	0	0	0
159	50	0	0	0	0	0	0	0	0	0
179	50	0	0	0	0	0	0	0	0	0
180	50	0	0	0	0	0	0	0	0	0
181	50	0	0	0	0	0	0	0	0	0
182	50	0	0	0	0	0	0	0	0	0
183	50	0	0	0	0	0	0	0	0	0
184	50	0	0	0	0	0	0	0	0	0
185	50	0	0	0	0	0	0	0	0	0
186	50	0	0	0	0	0	0	0	0	0
187	50	0	0	0	0	0	0	0	0	0
188	50	0	0	0	0	0	0	0	0	0
189	50	0	0	0	0	0	0	0	0	0
190	50	0	0	0	0	0	0	0	0	0
191	50	0	0	0	0	0	0	0	0	0
192	50	0	0	0	0	0	0	0	0	0
193	50	0	0	0	0	0	0	0	0	0
194	50	0	0	0	0	0	0	0	0	0
195	50	0	0	0	0	0	0	0	0	0
196	50	0	0	0	0	0	0	0	0	0
213	50	0	0	0	0	0	0	0	0	0
215	50	0	0	0	0	0	0	0	0	0
216	10	0	0	0	0	0	0	0	0	0
217	10	0	0	0	0	0	0	0	0	0
218	10	0	0	0	0	0	0	0	0	0
219	10	0	0	0	0	0	0	0	0	0
220	10	0	0	0	0	0	0	0	0	0
221	10	0	0	0	0	0	0	0	0	0
222	10	0	0	0	0	0	0	0	0	0
223	10	0	0	0	0	0	0	0	0	0
224	10	0	0	0	0	0	0	0	0	0
225	10	0	0	0	0	0	0	0	0	0
226	10	0	0	0	0	0	0	0	0	0
227	10	0	0	0	0	0	0	0	0	0
228	10	0	0	0	0	0	0	0	0	0
229	10	0	0	0	0	0	0	0	0	0
230	10	0	0	0	0	0	0	0	0	0
231	10	0	0	0	0	0	0	0	0	0
232	10	0	0	0	0	0	0	0	0	0
233	10	0	0	0	0	0	0	0	0	0
234	10	0	0	0	0	0	0	0	0	0
235	10	0	0	0	0	0	0	0	0	0
236	10	0	0	0	0	0	0	0	0	0
148	50	1	0	0	0	0	0	0	0	0
150	50	0	0	0	0	0	0	0	0	0
151	50	0	1	0	0	0	0	0	0	0
152	50	0	0	0	0	0	0	0	0	0
153	50	0	1	0	0	0	0	0	0	0
154	50	0	0	0	0	0	0	0	0	0
155	50	0	1	0	0	0	0	0	0	0
404	100	0	0	0	0	0	0	0	0	0
405	100	0	0	0	0	0	0	0	0	0
406	100	0	0	0	0	0	0	0	0	0
407	100	0	0	0	0	0	0	0	0	0
981	50	0	0	0	0	0	0	0	0	0
982	50	0	0	0	0	0	0	0	0	0
983	50	0	0	0	0	0	0	0	0	0
984	50	0	0	0	0	0	0	0	0	0
985	50	0	0	0	0	0	0	0	0	0
986	50	0	0	0	0	0	0	0	0	0
987	50	0	0	0	0	0	0	0	0	0
988	50	0	0	0	0	0	0	0	0	0
989	50	0	0	0	0	0	0	0	0	0
990	50	0	0	0	0	0	0	0	0	0
991	50	0	0	0	0	0	0	0	0	0
992	50	0	0	0	0	0	0	0	0	0
993	50	0	0	0	0	0	0	0	0	0
994	50	0	0	0	0	0	0	0	0	0
995	50	0	0	0	0	0	0	0	0	0
996	50	0	0	0	0	0	0	0	0	0
997	50	0	0	0	0	0	0	0	0	0
1012	50	0	0	0	0	0	0	0	0	0
1013	50	0	0	0	0	0	0	0	0	0
1038	50	0	0	0	0	0	0	0	0	0
1039	50	0	0	0	0	0	0	0	0	0
1040	50	0	0	0	0	0	0	0	0	0
1041	50	0	0	0	0	0	0	0	0	0
1042	50	0	0	0	0	0	0	0	0	0
1043	50	0	0	0	0	0	0	0	0	0
1044	50	0	0	0	0	0	0	0	0	0
1045	50	0	0	0	0	0	0	0	0	0
1046	50	0	0	0	0	0	0	0	0	0
1047	50	0	0	0	0	0	0	0	0	0
1048	50	0	0	0	0	0	0	0	0	0
1049	50	0	0	0	0	0	0	0	0	0
1050	50	0	0	0	0	0	0	0	0	0
1051	50	0	0	0	0	0	0	0	0	0
13	50	0	0	0	0	0	0	0	0	0
22	50	0	0	0	0	0	0	0	0	0
1015	50	0	0	0	0	0	0	0	0	0
1016	50	0	0	0	0	0	0	0	0	0
1020	50	0	0	0	0	0	0	0	0	0
1062	50	0	0	0	0	0	0	0	0	0
1063	50	0	0	0	0	0	0	0	0	0
