TitleName	TitleId	SpeicalGraphic	FaceId	AuraSkill	AuraSkillLevel	ExtSkill1	ExtSkillLevel1	ExtSkill2	ExtSkillLevel2	ExtSkill3	ExtSkillLevel3	ExtSkill4	ExtSkillLevel4	ExtSkill5	ExtSkillLevel5	Memo	TitlePriority
Binh sÜ 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HiÖu óy 	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0		
Thèng LÜnh 	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0		
Phã t­íng 	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0		
§¹i t­íng 	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0		
Nguyªn So¸i 	6	43	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Tæng l·nh ®éi	7	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi ThËp ®¹i cao thñ 	8	84	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi ThiÕu L©m cao thñ 	9	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thiªn V­¬ng cao thñ 	10	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi §­êng M«n cao thñ 	11	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Ngò §éc cao thñ 	12	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Nga Mi cao thñ 	13	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thóy Yªn cao thñ 	14	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi C¸i Bang cao thñ 	15	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Thiªn NhÉn  cao thñ 	16	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi Vâ §ang cao thñ 	17	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi C«n L«n cao thñ 	18	83	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vâ L©m §¹i héi tuyÓn thñ 	19	82	0	0	0	0	0	0	0	0	0	0	0	0	0		
ThiÕu L©m kiÖt xuÊt	20	81	0	0	0	0	0	0	0	0	0	0	0	0	0		
