Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
500	L­u Tinh. §ao ph¸p	0	6	1	36	0	1	0	10000
500	Th¸i Cùc Quy?n Phæ. QuyÓn 3	0	6	1	33	0	1	0	10000
500	C¸i Bang Ch­ëng Ph¸p	0	6	1	54	0	1	0	10000
500	Th¸i Cùc Ki?m Phæ. QuyÓn 2	0	6	1	34	0	1	0	10000
500	Nga Mi  PhËt Quang Ch­ëng MËt T?ch	0	6	1	43	0	1	0	10000
500	Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	0	6	1	38	0	1	0	10000
500	DiÖt Ki?m MËt T?ch	0	6	1	42	0	1	0	10000
500	C¸i Bang C«n ph¸p	0	6	1	55	0	1	0	10000
500	Tô TiÔn thuËt. B¹o V? Lª Hoa	0	6	1	27	0	1	0	10000
500	Phi §ao thuËt. Nhi?p Hån NguyÖt ¶nh	0	6	1	45	0	1	0	10000
500	Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	0	6	1	37	0	1	0	10000
500	Thóy Yªn §ao ph¸p	0	6	1	40	0	1	0	10000
500	Thóy Yªn Song ®ao	0	6	1	41	0	1	0	10000
500	Phi Tiªu thuËt. Cöu Cung Phi Tinh	0	6	1	46	0	1	0	10000
500	Ng? §éc Ch­ëng Ph¸p. QuyÓn 1	0	6	1	47	0	1	0	10000
500	Ngù L«i thuËt	0	6	1	51	0	1	0	10000
500	Ngù Phong thuËt	0	6	1	50	0	1	0	10000
500	V©n Long K?ch. M©u ph¸p	0	6	1	35	0	1	0	10000
500	Thiªn V­¬ng §ao ph¸p.QuyÓn 3	0	6	1	39	0	1	0	10000
500	Ng? §éc §ao ph¸p. QuyÓn 2	0	6	1	48	0	1	0	10000
500	Thi?u L©m §ao ph¸p. QuyÓn 3	0	6	1	58	0	1	0	10000
